Companies,Categories,City,Country,Customer Name,Market,Customer ID,Order Date,Year (OrderDate),Order ID,Order Priority,Product ID,Region,Segment,State,Discount,Profit,Sales,Shipping Cost,Target Sales
Baker Skateboard,Classic Longboard Skateboard,Los Angeles,United States,Gary Hansen,USCA,GH-144104,09/07/2012,2012,CA-2011-114125,High,OFF-ST-10001505,West,Home Office,California,0,4.0664,23.9,1.7,27.9864
Girl skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Ben Ferrer,USCA,BF-111704,12/07/2012,2012,CA-2011-110184,High,OFF-ST-10000107,West,Home Office,California,0,44.955,249.8,52.56,294.705
Element Skateboard,Electric Skateboard,Los Angeles,United States,Janet Molinari,USCA,JM-152654,25/08/2012,2012,CA-2011-104178,High,OFF-ST-10004258,West,Corporate,California,0,13.1868,48.8,3.81,62.0268
zero skateboard,The Carve Skateboard,Los Angeles,United States,Michelle Arnett,USCA,MA-179954,20/09/2012,2012,CA-2011-133704,Medium,OFF-AP-10001366,West,Home Office,California,0,11.8584,43.9,1.65,32.0616
real skateboard,The Carve Skateboard,Los Angeles,United States,Arthur Prichep,USCA,AP-109154,29/09/2012,2012,CA-2011-146969,High,OFF-FA-10001561,West,Consumer,California,0,2.8776,8.7,1.29,5.8424
Plan B skateboard,The Carve Skateboard,Los Angeles,United States,Arthur Prichep,USCA,AP-109154,29/09/2012,2012,CA-2011-146969,High,OFF-ST-10004340,West,Consumer,California,0,16.7886,62.2,5.67,45.3914
Santa cruz skateboard,Classic Longboard Skateboard,Los Angeles,United States,Greg Guthrie,USCA,GG-146504,31/10/2012,2012,CA-2011-106439,High,OFF-FA-10002975,West,Corporate,California,0,5.2164,11.3,1.2,16.5564
Chocolate skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Greg Guthrie,USCA,GG-146504,31/10/2012,2012,CA-2011-106439,High,OFF-ST-10003996,West,Corporate,California,0,20.878,80.3,15.67,101.178
Toy machine skateboard,Electric Skateboard,Los Angeles,United States,Greg Guthrie,USCA,GG-146504,31/10/2012,2012,CA-2011-106439,High,OFF-ST-10001963,West,Corporate,California,0,12.1692,405.6,18.82,393.4708
Alien workshop,The Carve Skateboard,Los Angeles,United States,Paul Lucas,USCA,PL-189254,01/11/2012,2012,CA-2011-168305,Medium,OFF-LA-10003498,West,Home Office,California,0,22.2,44.4,2.77,22.2
Chocolate skateboard,Classic Longboard Skateboard,Los Angeles,United States,Rob Lucas,USCA,RL-196154,05/12/2012,2012,CA-2011-133830,Medium,OFF-FA-10002280,West,Consumer,California,0,7.2,15,1.15,22.2
Baker Skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Julie Creighton,USCA,JC-161054,24/12/2012,2012,US-2011-167738,Medium,OFF-ST-10003306,West,Corporate,California,0,41.4294,142.9,10.28,184.2894
Girl skateboard,Electric Skateboard,Los Angeles,United States,Ben Ferrer,USCA,BF-111704,24/12/2012,2012,US-2011-138247,Medium,OFF-AP-10000828,West,Home Office,California,0,101.3488,362,26.47,260.6112
Element Skateboard,The Carve Skateboard,Los Angeles,United States,Ben Ferrer,USCA,BF-111704,24/12/2012,2012,US-2011-138247,Medium,OFF-ST-10002301,West,Home Office,California,0,0.2034,20.3,1.27,20.5434
zero skateboard,The Carve Skateboard,Los Angeles,United States,Rob Dowd,USCA,RD-195854,16/02/2013,2013,CA-2012-121776,High,OFF-LA-10002762,West,Consumer,California,0,41.2237,87.7,9.83,46.4863
real skateboard,The Carve Skateboard,Los Angeles,United States,Ann Blume,USCA,AB-106004,18/02/2013,2013,CA-2012-111234,Medium,OFF-LA-10002271,West,Corporate,California,0,4.4352,9.2,0.7,4.8048
Plan B skateboard,Classic Longboard Skateboard,Los Angeles,United States,Bill Tyler,USCA,BT-113954,13/04/2013,2013,US-2012-120502,Low,OFF-AP-10004980,West,Corporate,California,0,29.5776,75.8,8.99,46.2624
Santa cruz skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Linda Southworth,USCA,LS-169454,25/04/2013,2013,CA-2012-115420,Low,OFF-EN-10003862,West,Corporate,California,0,9.8164,21.3,2.31,31.1564
Chocolate skateboard,Electric Skateboard,Los Angeles,United States,Hunter Glantz,USCA,HG-150254,14/05/2013,2013,CA-2012-165162,Low,OFF-ST-10003470,West,Consumer,California,0,55.896,1117.9,137.93,1062.024
Toy machine skateboard,Electric Skateboard,Los Angeles,United States,Sarah Brown,USCA,SB-201854,22/05/2013,2013,CA-2012-149846,High,OFF-LA-10004484,West,Consumer,California,0,3.7996,8.3,0.8,4.4604
Alien workshop,The Carve Skateboard,Los Angeles,United States,Sarah Brown,USCA,SB-201854,22/05/2013,2013,CA-2012-149846,High,OFF-ST-10002406,West,Consumer,California,0,29.3412,104.8,13.18,134.1312
Baker Skateboard,Classic Longboard Skateboard,Los Angeles,United States,Logan Haushalter,USCA,LH-171554,19/06/2013,2013,CA-2012-121965,Medium,OFF-EN-10000056,West,Consumer,California,0,87.7443,186.7,5.15,274.4343
Girl skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Alan Barnes,USCA,AB-101654,25/06/2013,2013,CA-2012-115945,Medium,OFF-ST-10001963,West,Consumer,California,0,9.1269,304.2,11.27,295.1031
Element Skateboard,Electric Skateboard,Los Angeles,United States,Tim Taslimi,USCA,TT-212654,15/08/2013,2013,CA-2012-162369,Medium,OFF-ST-10000046,West,Corporate,California,0,61.389,323.1,18.13,261.711
zero skateboard,The Carve Skateboard,Los Angeles,United States,Nancy Lomonaco,USCA,NL-183104,25/08/2013,2013,US-2012-139759,Medium,OFF-AP-10002765,West,Home Office,California,0,29.6688,106,6.04,135.6288
real skateboard,The Carve Skateboard,Los Angeles,United States,Cassandra Brandow,USCA,CB-120254,28/08/2013,2013,CA-2012-121188,Medium,OFF-ST-10000736,West,Consumer,California,0,29.1528,728.8,48.16,699.6672
Plan B skateboard,The Carve Skateboard,Los Angeles,United States,Cassandra Brandow,USCA,CB-120254,28/08/2013,2013,CA-2012-121188,Medium,OFF-ST-10001490,West,Consumer,California,0,267.705,892.4,85.38,1160.055
Santa cruz skateboard,Classic Longboard Skateboard,Los Angeles,United States,Charles Crestani,USCA,CC-121454,10/09/2013,2013,CA-2012-132906,High,OFF-SU-10004498,West,Consumer,California,0,1.5456,51.5,7.75,49.9744
Chocolate skateboard,Downhill Longboard Skateboard,Los Angeles,United States,George Bell,USCA,GB-145304,18/09/2013,2013,CA-2012-167745,Medium,OFF-SU-10004782,West,Corporate,California,0,5.07,16.9,0.77,21.97
Chocolate skateboard,Electric Skateboard,Los Angeles,United States,Shaun Chance,USCA,SC-204404,24/09/2013,2013,CA-2012-103835,Medium,OFF-AP-10002651,West,Corporate,California,0,335.8548,1158.1,56.16,822.2652
Baker Skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Anne McFarland,USCA,AM-107054,25/09/2013,2013,CA-2012-100573,Low,OFF-EN-10000461,West,Consumer,California,0,8.2156,17.5,1.73,9.2644
Girl skateboard,The Carve Skateboard,Los Angeles,United States,Roy Phan,USCA,RP-198554,28/09/2013,2013,CA-2012-129546,Medium,OFF-AP-10002495,West,Corporate,California,0,55.845,186.2,12.14,130.305
Element Skateboard,Classic Longboard Skateboard,Los Angeles,United States,Roy Phan,USCA,RP-198554,28/09/2013,2013,CA-2012-129546,Medium,OFF-SU-10004884,West,Corporate,California,0,13.6851,47.2,3.51,33.5049
zero skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Robert Marley,USCA,RM-196754,19/10/2013,2013,CA-2012-160171,Medium,OFF-AP-10000275,West,Home Office,California,0,459.396,1640.7,99.85,2100.096
real skateboard,Electric Skateboard,Los Angeles,United States,Toby Swindell,USCA,TS-213404,24/11/2013,2013,CA-2012-153416,Medium,OFF-ST-10000060,West,Consumer,California,0,54.5832,454.9,42.98,509.4432
Plan B skateboard,The Carve Skateboard,Los Angeles,United States,George Bell,USCA,GB-145304,05/12/2013,2013,CA-2012-149566,Medium,OFF-LA-10000452,West,Corporate,California,0,6.048,12.6,0.48,18.648
Santa cruz skateboard,The Carve Skateboard,Los Angeles,United States,Yana Sorensen,USCA,YS-218804,08/12/2013,2013,CA-2012-129532,High,OFF-ST-10004186,West,Corporate,California,0,4.4392,222,43.34,217.5208
Chocolate skateboard,The Carve Skateboard,Los Angeles,United States,Kean Takahito,USCA,KT-164654,24/12/2013,2013,CA-2012-158456,Medium,OFF-FA-10004854,West,Consumer,California,0,21.5824,45.9,0.38,24.3376
Toy machine skateboard,Classic Longboard Skateboard,Los Angeles,United States,Arthur Gainer,USCA,AG-109004,27/12/2013,2013,CA-2012-148376,High,OFF-AP-10000240,West,Consumer,California,0,31.0184,107,11.51,137.9784
Alien workshop,Downhill Longboard Skateboard,Los Angeles,United States,Arthur Gainer,USCA,AG-109004,27/12/2013,2013,CA-2012-148376,High,OFF-LA-10002381,West,Consumer,California,0,10.3488,21.6,4.27,11.2112
Baker Skateboard,Electric Skateboard,Los Angeles,United States,Clay Ludtke,USCA,CL-125654,30/12/2013,2013,CA-2012-135580,Medium,OFF-EN-10003296,West,Consumer,California,0,122.148,271.4,16.48,393.588
Girl skateboard,Electric Skateboard,Los Angeles,United States,Clay Ludtke,USCA,CL-125654,30/12/2013,2013,CA-2012-135580,Medium,OFF-ST-10000798,West,Consumer,California,0,14.2386,74.9,4.91,89.1786
Element Skateboard,The Carve Skateboard,Los Angeles,United States,Jennifer Braxton,USCA,JB-154004,04/02/2014,2014,CA-2013-101189,Medium,OFF-ST-10004180,West,Corporate,California,0,3.7208,93,6.61,89.2992
zero skateboard,Classic Longboard Skateboard,Los Angeles,United States,Tracy Zic,USCA,TZ-215804,22/02/2014,2014,US-2013-143280,Medium,OFF-FA-10000992,West,Consumer,California,0,5.0055,10.7,1.21,15.6555
real skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Logan Currie,USCA,LC-171404,09/04/2014,2014,CA-2013-130477,High,OFF-ST-10002583,West,Consumer,California,0,2.5984,65,7.09,62.3616
Plan B skateboard,Electric Skateboard,Los Angeles,United States,Barry Franz,USCA,BF-110054,06/05/2014,2014,CA-2013-137729,Medium,OFF-ST-10001505,West,Home Office,California,0,1.0166,6,0.24,6.9966
Santa cruz skateboard,The Carve Skateboard,Los Angeles,United States,Anna H„berlin,USCA,AH-106904,20/05/2014,2014,CA-2013-138282,High,OFF-AP-10001366,West,Corporate,California,0,23.7168,87.8,7.92,64.1232
Chocolate skateboard,The Carve Skateboard,Los Angeles,United States,Clay Ludtke,USCA,CL-125654,29/05/2014,2014,CA-2013-134803,Low,OFF-AP-10000891,West,Consumer,California,0,78.672,262.2,26.48,183.568
Toy machine skateboard,The Carve Skateboard,Los Angeles,United States,Ross Baird,USCA,RB-197954,07/06/2014,2014,US-2013-155971,Medium,OFF-LA-10000452,West,Home Office,California,0,10.584,22.1,1.72,32.634
Alien workshop,Classic Longboard Skateboard,Los Angeles,United States,Olvera Toch,USCA,OT-187304,11/06/2014,2014,CA-2013-113243,Medium,OFF-LA-10001297,West,Consumer,California,0,9.936,20.7,0.9,10.764
Chocolate skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Alan Shonely,USCA,AS-102404,26/06/2014,2014,CA-2013-118913,Medium,OFF-AP-10000692,West,Consumer,California,0,17.0268,60.8,4.29,43.7832
Baker Skateboard,Electric Skateboard,Los Angeles,United States,Ruben Ausman,USCA,RA-198854,18/07/2014,2014,CA-2013-101343,Medium,OFF-ST-10003479,West,Corporate,California,0,3.894,77.9,4.31,81.774
Girl skateboard,The Carve Skateboard,Los Angeles,United States,Khloe Miller,USCA,KM-166604,29/07/2014,2014,CA-2013-140046,Medium,OFF-LA-10000305,West,Consumer,California,0,8.694,18.9,1.24,27.594
Element Skateboard,Classic Longboard Skateboard,Los Angeles,United States,Cathy Armstrong,USCA,CA-120554,09/08/2014,2014,CA-2013-107328,Medium,OFF-AP-10004487,West,Home Office,California,0,136.6176,487.9,36.22,351.3024
zero skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Bill Donatelli,USCA,BD-113204,16/08/2014,2014,CA-2013-167241,Low,OFF-ST-10001505,West,Consumer,California,0,3.0498,17.9,2.88,14.8902
real skateboard,Electric Skateboard,Los Angeles,United States,Lena Radford,USCA,LR-169154,03/09/2014,2014,CA-2013-126732,Medium,OFF-ST-10000321,West,Consumer,California,0,0.9468,23.7,1.34,22.7232
Plan B skateboard,The Carve Skateboard,Los Angeles,United States,Edward Hooks,USCA,EH-137654,25/09/2014,2014,CA-2013-100944,Medium,OFF-EN-10001453,West,Corporate,California,0,143.303,304.9,14.71,161.597
Santa cruz skateboard,The Carve Skateboard,Los Angeles,United States,Carlos Soltero,USCA,CS-119504,22/10/2014,2014,CA-2013-161746,Medium,OFF-ST-10002743,West,Consumer,California,0,3.4092,340.9,29.78,337.5108
Chocolate skateboard,The Carve Skateboard,Los Angeles,United States,Jonathan Howell,USCA,JH-159104,29/10/2014,2014,CA-2013-130162,High,OFF-ST-10001328,West,Consumer,California,0,26.0568,93.1,6.35,67.0032
Toy machine skateboard,Classic Longboard Skateboard,Los Angeles,United States,Jonathan Doherty,USCA,JD-158954,01/11/2014,2014,CA-2013-144218,Medium,OFF-ST-10002615,West,Corporate,California,0,282.2092,1085.4,64.42,803.2108
Alien workshop,Downhill Longboard Skateboard,Los Angeles,United States,Xylona Preis,USCA,XP-218654,04/11/2014,2014,CA-2013-109365,Medium,OFF-AP-10002998,West,Consumer,California,0,14.2956,43.3,4.21,57.6156
Baker Skateboard,Electric Skateboard,Los Angeles,United States,Xylona Preis,USCA,XP-218654,04/11/2014,2014,CA-2013-109365,Medium,OFF-FA-10001561,West,Consumer,California,0,5.0358,15.3,1.34,10.2242
Girl skateboard,Electric Skateboard,Los Angeles,United States,Tracy Collins,USCA,TC-215354,19/11/2014,2014,CA-2013-166226,High,OFF-AP-10002867,West,Home Office,California,0,18.3168,67.8,6.48,86.1568
Element Skateboard,The Carve Skateboard,Los Angeles,United States,Matt Connell,USCA,MC-176054,21/11/2014,2014,CA-2013-145492,Medium,OFF-AP-10003622,West,Corporate,California,0,11.31,39,2.35,27.69
zero skateboard,Classic Longboard Skateboard,Los Angeles,United States,Maribeth Schnelling,USCA,MS-173654,27/11/2014,2014,CA-2013-107104,Medium,OFF-AP-10000055,West,Consumer,California,0,19.488,65,3.16,45.472
real skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Gary McGarr,USCA,GM-144404,04/12/2014,2014,CA-2013-161025,Medium,OFF-ST-10001932,West,Consumer,California,0,108.1752,772.7,53.32,880.8552
Plan B skateboard,Electric Skateboard,Los Angeles,United States,Anne Pryor,USCA,AP-107204,07/12/2014,2014,US-2013-103674,Medium,OFF-FA-10003467,West,Home Office,California,0,0,13.9,1.25,13.86
Santa cruz skateboard,The Carve Skateboard,Los Angeles,United States,Henry Goldwyn,USCA,HG-149654,19/12/2014,2014,CA-2013-145919,High,OFF-SU-10003505,West,Corporate,California,0,28.965,579.3,53.83,550.335
Chocolate skateboard,The Carve Skateboard,Los Angeles,United States,Mike Caudle,USCA,MC-181304,27/12/2014,2014,CA-2013-129868,Medium,OFF-AP-10004052,West,Corporate,California,0,2.054,7.9,0.54,5.846
Chocolate skateboard,The Carve Skateboard,Los Angeles,United States,Mike Caudle,USCA,MC-181304,27/12/2014,2014,CA-2013-129868,Medium,OFF-SU-10000952,West,Corporate,California,0,4.9728,17.8,1.23,12.7872
Baker Skateboard,Classic Longboard Skateboard,Los Angeles,United States,John Lee,USCA,JL-158354,03/02/2015,2015,CA-2014-161333,Medium,OFF-AP-10000252,West,Consumer,California,0,16.38,46.8,2.86,63.18
Girl skateboard,Downhill Longboard Skateboard,Los Angeles,United States,John Lee,USCA,JL-158354,03/02/2015,2015,CA-2014-161333,Medium,OFF-ST-10000464,West,Consumer,California,0,38.9312,139,7.18,100.1088
Element Skateboard,Electric Skateboard,Los Angeles,United States,Sarah Bern,USCA,SB-201704,10/02/2015,2015,CA-2014-145807,High,OFF-ST-10001370,West,Consumer,California,0,17.745,354.9,48.88,337.155
zero skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Sung Pak,USCA,SP-208604,05/03/2015,2015,CA-2014-110478,Medium,OFF-EN-10000483,West,Corporate,California,0,7.015,15.3,1.53,8.235
real skateboard,The Carve Skateboard,Los Angeles,United States,Ken Dana,USCA,KD-166154,17/03/2015,2015,CA-2014-129294,High,OFF-AP-10001154,West,Corporate,California,0,54.8613,140.7,14.92,85.8087
Plan B skateboard,Classic Longboard Skateboard,Los Angeles,United States,Ken Dana,USCA,KD-166154,17/03/2015,2015,CA-2014-129294,High,OFF-ST-10002615,West,Corporate,California,0,80.6312,310.1,26.14,390.7512
Santa cruz skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Barry Pond,USCA,BP-110504,19/03/2015,2015,CA-2014-143084,Medium,OFF-EN-10003072,West,Corporate,California,0,9.312,19.4,1.76,10.088
Chocolate skateboard,Electric Skateboard,Los Angeles,United States,George Zrebassa,USCA,GZ-145454,20/03/2015,2015,CA-2014-140515,Medium,OFF-AP-10001205,West,Corporate,California,0,106.7808,381.4,21.55,274.5792
Toy machine skateboard,The Carve Skateboard,Los Angeles,United States,Henry Goldwyn,USCA,HG-149654,01/04/2015,2015,US-2014-160143,Low,OFF-SU-10004231,West,Corporate,California,0,8.019,29.7,4.08,37.719
Alien workshop,The Carve Skateboard,Los Angeles,United States,Pamela Stobb,USCA,PS-187604,18/04/2015,2015,CA-2014-128965,Medium,OFF-FA-10001561,West,Consumer,California,0,3.597,10.9,0.69,7.303
Baker Skateboard,The Carve Skateboard,Los Angeles,United States,Pamela Stobb,USCA,PS-187604,18/04/2015,2015,CA-2014-128965,Medium,OFF-LA-10003190,West,Consumer,California,0,11.2896,23,2.01,34.3296
Girl skateboard,Classic Longboard Skateboard,Los Angeles,United States,Pamela Stobb,USCA,PS-187604,18/04/2015,2015,CA-2014-128965,Medium,OFF-LA-10001404,West,Consumer,California,0,3.4686,7.4,0.62,3.9114
Element Skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Rob Dowd,USCA,RD-195854,04/07/2015,2015,CA-2014-139437,Medium,OFF-ST-10002485,West,Consumer,California,0,0.8792,87.9,6.23,88.7992
zero skateboard,Electric Skateboard,Los Angeles,United States,Annie Thurman,USCA,AT-107354,08/07/2015,2015,CA-2014-106824,Medium,OFF-FA-10001135,West,Consumer,California,0,0.1188,5.9,0.39,6.0588
real skateboard,Electric Skateboard,Los Angeles,United States,Karen Bern,USCA,KB-162404,12/07/2015,2015,CA-2014-162012,Medium,OFF-AP-10003040,West,Corporate,California,0,43.706,168.1,10.21,124.394
Plan B skateboard,The Carve Skateboard,Los Angeles,United States,Katherine Nockton,USCA,KN-163904,12/07/2015,2015,CA-2014-164959,High,OFF-LA-10004272,West,Corporate,California,0,4.0749,8.7,1.11,4.5951
Santa cruz skateboard,Classic Longboard Skateboard,Los Angeles,United States,Tiffany House,USCA,TH-212354,05/09/2015,2015,CA-2014-117261,Medium,OFF-ST-10000419,West,Corporate,California,0,0.5432,54.3,3.88,53.7768
Chocolate skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Ralph Arnett,USCA,RA-192854,05/09/2015,2015,CA-2014-141929,High,OFF-ST-10002974,West,Consumer,California,0,65.355,217.9,26.6,283.205
Toy machine skateboard,Electric Skateboard,Los Angeles,United States,Keith Dawkins,USCA,KD-164954,10/09/2015,2015,CA-2014-100825,High,OFF-ST-10003123,West,Corporate,California,0,23.9688,99.9,10.94,123.8388
Alien workshop,The Carve Skateboard,Los Angeles,United States,Paul Van Hugh,USCA,PV-189854,03/10/2015,2015,CA-2014-105914,Low,OFF-ST-10003716,West,Home Office,California,0,204.7682,1575.1,127.15,1779.9082
Chocolate skateboard,The Carve Skateboard,Los Angeles,United States,Cindy Stewart,USCA,CS-125054,03/11/2015,2015,US-2014-115609,Medium,OFF-AP-10003040,West,Consumer,California,0,43.706,168.1,10.3,124.394
Baker Skateboard,The Carve Skateboard,Los Angeles,United States,Zuschuss Carroll,USCA,ZC-219104,07/11/2015,2015,CA-2014-100013,Medium,OFF-EN-10001219,West,Consumer,California,0,7.4872,15.3,1.03,7.7928
Girl skateboard,Classic Longboard Skateboard,Los Angeles,United States,Guy Armstrong,USCA,GA-147254,12/11/2015,2015,CA-2014-110842,Medium,OFF-AP-10003971,West,Consumer,California,0,2.8314,10.9,0.85,8.0586
Element Skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Mick Crebagga,USCA,MC-181004,20/11/2015,2015,CA-2014-126242,Medium,OFF-ST-10000675,West,Consumer,California,0,76.2525,305,12.16,381.2625
zero skateboard,Electric Skateboard,Los Angeles,United States,Fred Hopkins,USCA,FH-143654,26/12/2015,2015,CA-2014-121398,Medium,OFF-ST-10002756,West,Corporate,California,0,2.7062,270.6,16.73,267.9138
real skateboard,The Carve Skateboard,Los Angeles,United States,Mark Van Huff,USCA,MV-174854,21/01/2012,2012,CA-2011-148614,Medium,FUR-FU-10003194,West,Consumer,California,0,5.79,19.3,0.64,13.51
Plan B skateboard,Classic Longboard Skateboard,Los Angeles,United States,Jonathan Doherty,USCA,JD-158954,26/03/2012,2012,CA-2011-138436,Medium,TEC-AC-10002323,West,Corporate,California,0,8.619,66.3,5.68,74.919
Santa cruz skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Katrina Edelman,USCA,KE-164204,03/04/2012,2012,CA-2011-112291,Medium,TEC-AC-10001284,West,Corporate,California,0,22.4316,62.3,2.82,39.8784
Chocolate skateboard,Electric Skateboard,Los Angeles,United States,Katrina Edelman,USCA,KE-164204,03/04/2012,2012,CA-2011-112291,Medium,TEC-AC-10000736,West,Corporate,California,0,57.5928,160,9.63,217.5728
Toy machine skateboard,The Carve Skateboard,Los Angeles,United States,Andy Yotov,USCA,AY-105554,06/04/2012,2012,CA-2011-102652,Medium,FUR-FU-10001918,West,Corporate,California,0,12.9129,33.1,4.35,46.0229
Alien workshop,The Carve Skateboard,Los Angeles,United States,Andy Yotov,USCA,AY-105554,06/04/2012,2012,CA-2011-102652,Medium,FUR-FU-10000747,West,Corporate,California,0,15.6332,92,2.77,76.3268
Baker Skateboard,The Carve Skateboard,Los Angeles,United States,Frank Hawley,USCA,FH-142754,06/04/2012,2012,CA-2011-153808,High,TEC-AC-10004171,West,Corporate,California,0,131.9868,300,42.74,431.9568
Girl skateboard,Classic Longboard Skateboard,Los Angeles,United States,Paul Stevenson,USCA,PS-189704,15/04/2012,2012,US-2011-120740,Critical,FUR-FU-10004091,West,Home Office,California,0,76.9816,187.8,52.79,110.7784
Element Skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Benjamin Patterson,USCA,BP-112304,20/04/2012,2012,CA-2011-101462,Medium,FUR-FU-10000409,West,Consumer,California,0,27.5632,59.9,3.94,87.4832
zero skateboard,Electric Skateboard,Los Angeles,United States,Brosina Hoffman,USCA,BH-117104,09/06/2012,2012,CA-2011-115812,Medium,FUR-FU-10001487,West,Consumer,California,0,14.1694,48.9,2.91,34.6906
real skateboard,Electric Skateboard,Los Angeles,United States,David Wiener,USCA,DW-131954,19/08/2012,2012,CA-2011-133158,Medium,FUR-FU-10000723,West,Corporate,California,0,26.0316,289.2,32.46,263.2084
Plan B skateboard,The Carve Skateboard,Los Angeles,United States,Janet Molinari,USCA,JM-152654,25/08/2012,2012,CA-2011-104178,High,FUR-FU-10000771,West,Corporate,California,0,2.6376,6.3,0.68,8.9176
Santa cruz skateboard,Classic Longboard Skateboard,Los Angeles,United States,Janet Molinari,USCA,JM-152654,25/08/2012,2012,CA-2011-104178,High,TEC-AC-10002399,West,Corporate,California,0,30.432,95.1,12.39,64.668
Chocolate skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Frank Merwin,USCA,FM-142904,26/08/2012,2012,CA-2011-123260,Medium,TEC-AC-10002323,West,Home Office,California,0,22.984,176.8,9.53,199.784
Chocolate skateboard,Electric Skateboard,Los Angeles,United States,Arthur Prichep,USCA,AP-109154,29/09/2012,2012,CA-2011-146969,High,FUR-FU-10004188,West,Consumer,California,0,53.196,204.6,14.69,257.796
Baker Skateboard,The Carve Skateboard,Los Angeles,United States,Greg Guthrie,USCA,GG-146504,31/10/2012,2012,CA-2011-106439,High,TEC-AC-10004568,West,Corporate,California,0,47.8629,251.9,39.1,299.7729
Girl skateboard,The Carve Skateboard,Los Angeles,United States,Deanra Eno,USCA,DE-132554,05/11/2012,2012,CA-2011-109134,Medium,FUR-FU-10000320,West,Home Office,California,0,8.8176,20,0.88,11.2224
Element Skateboard,The Carve Skateboard,Los Angeles,United States,Shahid Shariari,USCA,SS-204104,15/11/2012,2012,CA-2011-127558,Medium,FUR-FU-10002505,West,Consumer,California,0,3.2352,10.1,1.3,6.8748
zero skateboard,Classic Longboard Skateboard,Los Angeles,United States,Shahid Shariari,USCA,SS-204104,15/11/2012,2012,CA-2011-127558,Medium,TEC-AC-10003832,West,Consumer,California,0,146.7693,772.5,164.04,625.7007
real skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Sanjit Chand,USCA,SC-200954,23/11/2012,2012,US-2011-157385,Critical,TEC-AC-10003280,West,Consumer,California,0,6.2979,30,10.73,23.6921
Plan B skateboard,Electric Skateboard,Los Angeles,United States,Chad Cunningham,USCA,CC-121004,16/12/2012,2012,CA-2011-136399,High,FUR-FU-10004090,West,Home Office,California,0,14.6718,44.5,6.42,29.7882
Santa cruz skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Chad Cunningham,USCA,CC-121004,16/12/2012,2012,CA-2011-136399,High,TEC-AC-10001142,West,Home Office,California,0,39.5,395,17.2,434.5
Chocolate skateboard,The Carve Skateboard,Los Angeles,United States,Ben Ferrer,USCA,BF-111704,24/12/2012,2012,US-2011-138247,Medium,FUR-FU-10002554,West,Home Office,California,0,5.5177,24,2.43,18.4723
Toy machine skateboard,Classic Longboard Skateboard,Los Angeles,United States,Ben Ferrer,USCA,BF-111704,24/12/2012,2012,US-2011-138247,Medium,TEC-AC-10004708,West,Home Office,California,0,13.1985,62.9,3.75,49.6515
Alien workshop,Downhill Longboard Skateboard,Los Angeles,United States,Philip Brown,USCA,PB-191504,13/01/2013,2013,CA-2012-137526,High,FUR-FU-10004845,West,Consumer,California,0,92.97,464.9,52.46,557.82
Baker Skateboard,Electric Skateboard,Los Angeles,United States,Philip Brown,USCA,PB-191504,13/01/2013,2013,CA-2012-137526,High,FUR-FU-10001861,West,Consumer,California,0,38.024,77.6,8.72,39.576
Girl skateboard,The Carve Skateboard,Los Angeles,United States,Charles Crestani,USCA,CC-121454,30/01/2013,2013,CA-2012-121797,Medium,FUR-FU-10001876,West,Consumer,California,0,81.8496,227.4,10.28,309.2096
Element Skateboard,The Carve Skateboard,Los Angeles,United States,Rick Wilson,USCA,RW-195404,03/02/2013,2013,CA-2012-157959,Medium,FUR-FU-10004093,West,Corporate,California,0,41.076,136.9,21.82,177.996
zero skateboard,The Carve Skateboard,Los Angeles,United States,Monica Federle,USCA,MF-182504,16/03/2013,2013,CA-2012-144722,Medium,FUR-FU-10001215,West,Corporate,California,0,18.1146,43.1,3.35,25.0154
real skateboard,Classic Longboard Skateboard,Los Angeles,United States,Alice McCarthy,USCA,AM-103604,23/03/2013,2013,US-2012-107944,High,TEC-AC-10000736,West,Corporate,California,0,86.3892,240,55.48,153.5808
Plan B skateboard,Downhill Longboard Skateboard,Los Angeles,United States,Alan Barnes,USCA,AB-101654,28/03/2013,2013,CA-2012-131534,Medium,TEC-AC-10002253,West,Consumer,California,0,24.936,166.2,17.4,191.176
Santa cruz skateboard,Electric Skateboard,Los Angeles,United States,Bill Tyler,USCA,BT-113954,13/04/2013,2013,US-2012-120502,Low,FUR-FU-10004973,West,Corporate,California,0,15.8256,37.7,5.56,53.5056
